999999	2012	2013	2014	2015	2016	2017	2018
"000004"	10	10	10	8	8	9	
"000012"	0	5	15	15	19	22	19
"000023"	0	15	14	13	15	16	
"000027"	14	16	21	21	11	25	11
"000037"	10	12	11	12	12	14	
"000039"	16	11	27	29	28	23	26
"000055"	17	17	16	14	15	17	12
"000059"	15	16	13	15	17	16	
"000060"	27	30	29	33	34	26	13
"000153"	13	14	10	12	13	12	
"000155"	20	21	19	17	12	13	
"000158"	13	12	11	14	12	20	
"000301"	14	11	16	15	17	18	
"000401"	13	17	24	15	19	19	13
"000408"	9	10	9	9	16	23	
"000420"	18	20	0	0	15	19	
"000423"	11	11	16	15	19	12	
"000426"	18	15	12	12	14	16	
"000488"	23	25	25	26	25	30	
"000506"	0	14	13	13	12	13	
"000510"	0	0	0	17	18	21	
"000513"	15	18	19	17	25	24	
"000518"	12	15	13	13	12	14	
"000523"	19	14	12	20	21	20	
"000525"	22	22	22	27	28	20	
"000531"	14	15	11	14	12	15	
"000538"	12	11	20	25	20	26	18
"000539"	13	13	27	12	25	27	26
"000543"	15	13	16	15	18	17	
"000545"	11	23	21	21	24	23	
"000546"	11	13	14	16	18	22	
"000552"	16	23	18	16	16	22	
"000553"	17	0	24	24	23	20	
"000565"	16	15	15	18	18	20	
"000566"	9	9	9	12	12	19	
"000576"	13	0	12		14	14	
"000584"	15	15	16	15	15	14	
"000590"	10	10	9	9	12	10	
"000591"	10	11	9	14	16	19	
"000597"	10	14	12	13	16	20	
"000600"	13	17	15	17	16	21	
"000601"	15	17	17	18	22	21	
"000606"	11	8	14	15	15	12	
"000611"	11	8	8	10	11	9	
"000612"	20	20	18	18	19	19	
"000623"	7	16	13	18	20	24	13
"000630"	16	21	22	17	20	20	12
"000635"	19	22	22	27	23	24	13
"000637"	12	12	12	14	14	14	
"000650"	16	15	17	16	15	19	
"000657"	10		20	17	19	16	
"000661"	12	13	11	13	13	12	
"000672"	8	14	19	19	25	28	19
"000677"	17		17	11	14	12	
"000683"	22	22	23	15	17	20	
"000688"	11	21	17	22	21	23	
"000690"	12	14	16	12	16	16	12
"000692"	12	14	14	13	16	15	
"000695"	17	14	0	15	15	18	
"000698"	15	16	13	11	12	17	
"000703"	14	17	16	17	23	27	
"000708"	16	17	18	14	14	14	
"000709"	27	29	25	27	26	25	14
"000717"	19	22	26	23	22	20	
"000720"	14	16	19	16	16	16	
"000722"	10		9	8	10	9	
"000723"	16		15	16	21	22	
"000726"	17	20	22	23	26	29	18
"000731"	22	20	19	19	19	21	
"000739"	16	18	18	17	17	19	
"000751"	15	0	17	18	20	21	
"000756"	17	18	18	16	31	21	5
"000758"	20	21	18	21	24	25	
"000761"	23	20	21	21	20	18	
"000762"	20	15	18	18	18	16	
"000766"	12	13	14	13	14	17	
"000767"	15	18	18	14	16	16	
"000778"	26	25	24	26	27	23	14
"000779"	22	22	21	22	22	21	
"000782"	8		12	10	14	15	
"000786"	19	17	15	15	19	20	18
"000788"	10	11	12	13	13	13	
"000789"	21	15	19	16	16	20	
"000790"	13	19	16	12	10	12	
"000791"	9	12	13	11	12	13	
"000792"	21	25	23	22	29	29	15
"000795"	16	16	14	15	14	14	
"000807"	22	18	22	22	26	18	9
"000813"	15	16	19	18	12	20	
"000815"		25	21	24	19	21	3
"000818"	18	18	18	21	19	22	
"000819"	15	10	14	15	16	16	13
"000822"	14	17	15	17	17	19	
"000825"	24	25	28	30	30	35	27
"000830"	17	9	16	16	15	18	
"000831"	27	25	20	20	18	19	
"000833"	19	18	19	42	39	23	
"000850"	13	13	14	15	18	21	
"000862"	11	12	11	11	11	12	
"000875"	14	14	15	18	17	14	
"000877"	25	23	20	18	19	25	
"000878"	25	30	29	30	29	33	20
"000883"	14	16	16	21	21	15	11
"000885"	16	13	10	13	11	13	
"000890"	12	12	12	10	10	13	
"000898"	18	16	24	22	24	26	27
"000899"	13	16	16	17	19	18	
"000902"	15		23	17	17	21	
"000908"	11	8	11	10	13	17	
"000919"	0	0	0	12	12	14	
"000920"	19	16	16	14	14	18	
"000930"	15	15	14	17	11	15	
"000933"	20	20	19	16	25	24	12
"000935"	20	20	18	18	20	21	
"000936"	15	15	15	14	12	16	
"000937"	23	22	15		18	14	
"000949"	17	17	19	17	20	23	
"000952"	0	18	17	21	23	24	
"000955"	14	13	13	13	15	13	
"000958"	13	8	7	17	16	16	
"000959"	11	10	16	20	22	20	
"000960"	32	31	28	29	30	29	0
"000962"	14	18	18	16	23	23	18
"000966"	17	15	17	17	17	22	
"000968"	17	26	21	18	20	20	
"000969"	16	17	18	18	21	16	12
"000975"	10	14	13	14	14	17	
"000983"	29	29	25	25	22	24	
"000985"	9	10	12	15	8	14	
"000989"	16	13	16	14	17	17	
"000990"	15	15	12	13	23	24	
"000993"	12	14	15	15	19	13	9
"000999"	14	12	17	22	19	25	21
"001896"	19	18	17	22	27		
"002001"	30						
"002002"						33	
"002004"			31				
"002007"							
"002010"				20			
"002012"	19						
"002015"				22			
"002019"		28					
"002020"	13	12	14	15	15	20	
"002022"	10	11	11	11	12	20	
"002026"	16	18	19	19	18	19	
"002030"	10	9	14	16	19	14	8
"002032"	11	11	11	10	9	12	
"002034"	21	23	24	22	23	26	
"002037"	17	19	16	16	12	14	
"002038"	22	22	22	23	25	24	20
"002039"	11	21	19	16	18	16	15
"002042"	25	24	13	22	23	21	22
"002054"	22	22	21	21	20	21	19
"002057"	14	16	13	14	14	14	
"002061"	20	18	15	17	21	25	
"002064"	23	22	23	25	24	28	24
"002066"	15	10	13	12	13	13	
"002067"	35	35	34	19	32	31	23
"002068"	17	21	25	21	22	24	
"002075"	22	19	25	20	19	26	
"002078"	24	20	19	20	27	26	18
"002080"	21	22	20	19	17	23	
"002082"	19	19	21	21	17	21	
"002083"	15	15	17	15	14	12	
"002084"	22	21	17	17	19	24	13
"002087"	17	14	12		21	15	15
"002088"	14	13	16	15	16	14	
"002092"	31	26	34	33	33	28	20
"002094"	11	10	10	10	10	13	
"002096"	11	11	12	12	17	21	
"002099"	19	17	22	20	19	21	
"002107"	14	14	14	14	14	15	
"002109"	15	15	16	14	18	19	
"002110"	17	15	23	21	21	27	19
