999999,2012,2013,2014,2015,2016,2017,2018
"600961",,,,,,24,20
"600527",,,,,,14,15
"600507",,,,,,20,23
"600219",,,,,,24,26
"600664",,,,,,20,23
"600722",,,,,,18,20
"600282",,,,,,20,25
"600516",,,,,,24,21
"603077",,,,,,23,24
"600226",,,,,,30,28
"600678",,,,,,15,14
"603456",,,,,,23,25
"600793",,,,,,17,23
"601677",,,,,,16,19
"600985",,,,,,17,
"601678",,,,,,21,23
"600346",,,,,,22,22
"600378",,,,,,17,26
"601137",,,,,,14,19
"600309",,,,,,18,16
"600581",,,,,,25,19
"601233",,,,,,17,20
"600062",,,,,,19,18
"600367",,,,,,24,25
"600490",,,,,,12,10
"600211",,,,,,12,17
"600332",,,,,,17,20
"600569",,,,,,23,23
"600618",,,,,,18,17
"603021",,,,,,23,20
"600308",,,,,,26,27
"600660",,,,,,22,24
"600997",,,,,,27,32
"600433",,,,,,19,23
"600114",,,,,,18,22
"600176",,,,,,20,21
"600567",,,,,,20,21
"600963",,,,,,22,25
"601015",,,,,,22,25
"600299",,,,,,16,18
"600315",,,,,,15,16
"600688",,,,,,20,22
"600808",,,,,,23,23
"603969",,,,,,22,25
"600328",,,,,,32,31
"600420",,,,,,23,22
"600459",,,,,,18,19
"600720",,,,,,24,24
"600727",,,,,,20,21
"603688",,,,,,12,13
"600096",,,,,,24,23
"600585",,,,,,13,14
"600876",,,,,,14,18
"600987",,,,,,23,23
"601600",,,,,,25,28
"601992",,,,,,23,25
"600319",,,,,,24,19
"600449",,,,,,20,24
"600531",,,,,,23,28
"600819",,,,,,23,22
"603669",,,,,,16,21
"600206",,,,,,14,13
"600801",,,,,,18,15
"600196",,,,,,21,22
"600267",,,,,,21,24
"600535",,,,,,18,20
"600623",,,,,,21,21
"600673",,,,,,17,
"600731",,,,,,27,28
"600273",,,,,,26,26
"600362",,,,,19,22,23
"600392",,,,,,31,30
"600488",,,,,,25,24
"600521",,,,,,20,21
"601012",,,,,,17,21
"601636",,,,,,23,25
"600022",,,,,,23,23
"600235",,,,,,19,19
"600249",,,,,,21,21
"600252",,,,,,22,18
"600426",,,,,,22,27
"600549",,,,,,20,20
"600735",,,,,,10,14
"600750",,,,,,15,19
"600803",,,,,,33,30
"600889",,,,,,16,19
"601028",,,,,,14,15
"603002",,,,,,17,22
"600056",,,,,,14,17
"600078",,,,,,19,17
"600085",,,,,,20,22
"600135",,,,,,16,18
"600141",,,,,,24,23
"600222",,,,,,17,17
"600329",,,,,,13,12
"600439",,,,,,14,16
"600493",,,,,,27,25
"600615",,,,,,11,10
"600630",,,,,,11,16
"600689",,,,,,13,13
"600812",,,,,,29,29
"600966",,,,,,23,24
"601968",,,,,,21,23
"600161",,,,,,16,17
"600063",,,,,,23,23
"600380",,,,,,21,30
"600558",,,,,,21,22
"600768",,,,,,19,17
"600782",,,,,18,24,22
"601011",,,,,,15,18
"603010",,,,,,15,18
"603026",,,,,,18,17
"600792",,,,,,21,23
"600019",,,,,,20,24
"600117",,,,,,21,27
"600230",,,,,,22,19
"600352",,,,,,22,25
"600470",,,,,,22,24
"600557",,,,,,21,16
"600596",,,,,,23,22
"600069",,,,,,24,24
"600586",,,,,,15,14
"600746",,,,,,24,23
"601003",,,,,,17,17
"600075",,,,,,23,21
"600079",,,,,,19,27
"600156",,,,,,15,15
"600409",,,,,,27,28
"600479",,,,,,17,16
"600796",,,,,,22,23
"603268",,,,,,15,16
"600070",,,,,,16,23
"600080",,,,,,15,18
"600513",,,,,,28,21
"600789",,,,,,23,24
"600883",,,,,,11,12
"600992",,,,,,13,22
"600881",,,,,,22,19
"600276",,,,,,21,18
"600436",,,,,,13,20
"603889",,,,,,20,22
"600103",,,,,,19,22
"600220",,,,,,21,22
"600277",,,,,,30,33
"600448",,,,,,20,18
"600802",,,,,,16,17
"601113",,,,,,22,24
"600385",,,,,,9,9
"600867",,,,,,20,20
"603968",,,,,,27,26
"600740",,,,,,23,24
"603022",,,,,,13,14
"600010",,,,,,24,27
"600111",,,,,,20,21
"600160",,,,,,26,28
"600195",,,,,,21,19
"600232",,,,,,20,21
"600456",,,,,,13,24
"600595",,,,,,21,24
"601216",,,,,,30,27
"603227",,,,,,12,13
"603399",,,,,,18,17
"603601",,,,,,23,21
"600126",,,,,,30,31
"600129",,,,,,23,18
"600231",,,,,,27,24
"600281",,,,,,15,14
"600530",,,,,,13,17
"600566",,,,,,18,17
"600781",,,,,,19,17
"600851",,,,,,18,19
"601599",,,,,,18,23
"603222",,,,,,21,20
"603188",,,,,,22,26
"600370",,,,,,23,25
"600389",,,,,,24,22
"600486",,,,,,20,21
"600529",,,,,,27,26
"600589",,,,,,16,16
"600668",,,,,,21,22
"600771",,,,,,18,17
"600216",,,,,,19,22
"601339",,,,,,17,17
"600110",,,,,,14,19
"600165",,,,,,21,21
"600172",,,,,,16,11
"600518",,,,,,19,19
"600572",,,,,,24,21
"603001",,,,,,12,11
"603116",,,,,,14,12
"603168",,,,,,21,19
"603567",,,,,,19,23
"603718",,,,,,20,21
"603799",,,,,,22,20
"600285",,,,,,16,21
"600295",,,,,,25,26
"600307",,,,,,25,26
"600331",,,,,,27,30
"600691",,,,,,28,30
"600810",,,,,,21,21
"601208",,,,,,18,18
"601388",,,,,,21,19
